word1	word2	mean(remove_extreme_annotator)
あっけなく	苦労なく	4.8
あっけなく	ひとたまりもなく	5
あやしい	疑わしい	7.8
あやしい	怪しい	9.6
あやしく	疑わしく	8
あやしく	怪しく	10
あやしそう	怪しそう	10
いい加減に	荒々しく	5.8
いい匂いのする	芳ばしい	7
いかつくする	険しくする	7.2
いかつくする	怖くする	7.8
いかつくする	恐ろしくする	7.8
いかつくする	厳つくする	10
いぶかしく	怪しく	8
いぶかしく	疑わしく	8.2
いぶかしげ	怪しそう	7.8
いぶかしげ	あやしそう	8.4
うっとうしい	邪魔くさい	8.4
うっとうしい	面倒くさい	8.4
うっとうしい	わずらわしい	8.8
うっとうしく	じゃまくさく	9.2
うっとうしくて	うるさくて	7
うとましい	うっとうしい	8
うとましい	煩わしい	7.6
うとましい	わずらわしい	8.2
うるさく	激しく	3.6
うるさく	凄く	2.4
うるさく	騒がしく	7.8
うれしい	いい	5.8
うれしい	良い	6.2
うれしい	素晴らしい	6
うれしい	嬉しい	9.8
おいしく	芳ばしく	4.4
おかしい	尋常ではない	6.8
おかしい	おもしろおかしい	7.4
おかしくなって	弱くなって	2.4
おとなしい	慎ましやかな	6
おどろおどろしい	ものすごい	4.6
おどろおどろしい	恐ろしい	6.8
おめでたく	喜ばしく	9.2
おめでたく	めでたく	9.4
おもしろおかしい	面白い	7.8
おもしろおかしく	面白く	7.8
おもしろく	おもしろおかしく	6.6
おもしろく	面白おかしく	8
おもしろく	楽しく	6.6
おもしろく	面白く	10
かぐわしい	香ばしい	8.2
かぐわしい	芳しい	9.6
かぐわしく	芳しく	9.6
かぐわしく	香り良く	8.8
かぐわしく	香り高く	9
かっこわるかった	意気地なしだった	6.6
かなしい	悲しい	10
か細い	乏しい	6
か細い	弱々しい	8.2
か細い	か弱い	8
か細い	力ない	6.8
か細い	弱弱しい	8
か弱い	細い	4.6
か弱い	弱い	8.4
きつい	苦しい	7.2
きつい	厳しい	7.8
きつかった	つらかった	9
きつかった	厳しかった	8
きつかった	辛かった	9
きつきつな	狭い	6.8
きめ細かく	細かく	5.8
くやしい	不甲斐ない	6.4
くやしい	情けない	7
けたたましい	凄い	4.8
けたたましい	すさまじい	7
けたたましい	やかましい	8
けたたましい	ものすごい	6.2
けたたましい	物凄い	6.4
けたたましい	うるさい	8.8
けたたましい	騒がしい	8.8
けたたましい	すごい	5.2
けたたましい	騒々しい	8.8
けたたましい	甲高い	6.8
けたたましく	激しく	7.2
けたたましく	やかましく	8.4
けたたましく	大きく	6
けたたましく	慌ただしく	6.2
けたたましく	騒がしく	8.6
けたたましく	うるさく	8.4
さびしい	寂しい	10
しける	激しくなる	4.6
しょぼい	あっけない	6.8
しんどい	難しい	5.4
しんどい	つらい	7.6
しんどい	苦しい	7.2
しんどい	辛い	8
しんどい	厳しい	5.8
しんどい	きつい	8.2
しんどかった	きつかった	9
しんどかった	厳しかった	7.6
しんどかった	辛かった	8.8
すがすがしい	輝かしい	4
すがすがしい	素晴らしい	5.4
すがすがしい	すばらしい	6.4
すごい	すばらしい	6.4
すごかった	物凄かった	8.2
すごかった	激しかった	7.4
すごかった	早かった	5
すごく	大きく	4.8
すごく良い	輝かしい	6.4
すごく良い	すばらしい	8.2
すさまじい	すごい	6.8
すさまじい	すばらしい	3.8
すさまじい	甲高い	2.6
すさまじい	凄い	6.6
すさまじい	凄まじい	10
すさまじかった	すごかった	8.8
すさまじかった	激しかった	8
すさまじかった	物凄かった	8.8
すさまじかった	凄まじかった	10
すさまじく大きい	すさまじい	6.4
すばやく	素早く	10
すばらしい	よい	7.4
すばらしい	良い	7.2
ダッシュする	速く走る	8
たまらない	心地よい	5.4
たまらない	ちょうど良い	3.6
たやすく	ひとたまりもなく	6.4
つつましやか	小さな	5
つらい	きつい	8.2
つらい	厳しい	7.4
つらい	難しい	5.8
つらかった	辛かった	9.6
つらかった	厳しかった	8.2
つらかった	しんどかった	9.2
つらく	寂しく	4
つらく	切なく	4.8
つらく	辛く	10
とげとげしいかった	厳しかった	5.6
とてつもない	すさまじい	6
とてつもない	恐ろしい	5
とてつもない	ひどい	4.8
とても暑く	厳しい暑さ	8.2
ない	無い	10
はかなく	壊れやすく	7.8
はかなく	もろく	8.6
はかなく	弱く	7.4
バツが悪く	気まずく	7
バツが悪く	居づらく	8
ひどい	恐ろしい	6.4
ひとたまりもなく	苦労なく	5.6
ふさわしい	正しい	5.4
ふさわしい	好ましい	6.6
ふさわしい	良い	7.2
ふさわしい	いい	7.2
ほしかった	望ましい	5.2
みっともなかた	恥ずかしかった	8
みっともなかた	嘆かわしかった	6
むなしい	かなしい	6.4
むなしい	寂しい	6.8
むなしい	さびしい	5.6
むなしい	悲しい	6.2
むなしい	虚しい	10
むなしく	儚く	5.8
むなしく	寂しく	5.8
むなしく	悲しく	5.6
めんどくさい	込み入って煩わしい	8
めんどくさい	ややこしい	7
ものすごい	素晴らしい	5.2
ものすごい	とてつもない	6.8
ものすごい	凄い	7.4
ものすごい	すごい	7.4
ものすごい	すばらしい	6.4
もの凄い	すごい	7.6
もの凄い	凄い	7.8
もの凄い	激しい	7.4
もの凄い	すさまじい	8.8
もの凄い	ひどい	6.2
もの凄い	ものすごい	10
もろい	崩れやすい	6.8
もろい	割れやすい	5.2
もろい	壊れやすい	7
もろい	弱い	7
もろく	壊れやすく	6.6
もろく	儚く	6
もろく	崩れやすく	7.6
もろく	弱く	6.2
もろく	あっけなく	5.8
やかましい	騒々しい	7.8
やかましく	慌ただしく	6.6
やかましく	甲高く	6.8
やかましく	うるさく	8.6
やかましく	激しく	6.2
やかましく	騒がしく	8.6
やかましく	騒々しく	9
ややこしい	煩わしい	6.6
ややこしい	紛らわしい	5.4
ややこしい	難しい	6.6
ややこしい	複雑である	7.6
ややこしい	わかりにくい	7.2
ややこしい	細かい	5
ややこしい	面倒くさい	5.8
やるせない	切ない	7.6
やるせない	辛い	6
やるせない	つらい	7.6
やるせない	心苦しい	7
やるせない	悲しい	6.2
やるせない	苦しい	5.4
ゆるくして	緩くして	10
よい	ふさわしい	6.6
よい	正しい	7.2
よい	願わしい	6.8
よそよそしく	居心地悪く	6
わずらわしい	邪魔くさい	7
わずらわしい	煩わしい	10
わずらわしかった	うっとうしかった	7
わずらわしかった	煩わしかった	10
わずらわしく	めんどくさく	7.8
意気地なし	根性無し	8
鋭かった	厳しかった	3
鋭かった	とげとげしいかった	6.2
煙たく	居心地悪く	5.6
煙たく	気分悪く	5.2
汚れの無い	清い	7
汚れの無い	美しい	7
可笑しい	面白い	7
苛立たしげ	いまいましげ	7
華々しい	すごく良い	3.4
華々しい	素晴らしい	5
華々しい	良い	3.4
華々しい	すばらしい	4.8
華々しい	輝かしい	6.4
回した	甘くした	0.2
回りくどい	ややこしい	7.4
回りくどい	難しい	6.6
回りくどい	紛らわしい	7
快い	気持ちよい	8.2
快い	心地よい	8.2
快い	心地いい	8.2
快い	気持ち良い	8.2
快い	気持ちいい	8.2
快い	心地良い	8.2
快かった	気分よかった	6.2
快かった	気持ちよかった	8.2
快く	良く	6.4
快く	いい	6.4
快く	気前よく	5.6
快く	気分よく	7
快く	気持よく	7
拡大された	広くなった	6.6
拡張された	広くなった	6.4
楽しく	おもしろおかしく	7
楽しそう	おもしろおかしく	5.8
緩くした	甘くした	6.2
緩ませた	緩くした	6.2
緩めた	緩くした	7.8
緩めた	ゆるくした	7.6
緩めた	甘くした	6.4
緩める	緩くする	8
関係が悪く	気まずく	6.6
喜ばしい	好ましい	5.2
喜ばしい	うれしい	6.6
喜ばしい	良い	5.6
喜ばしい	望ましい	6.2
喜ばしい	願わしい	7
喜ばしい	いい	5.8
喜ばしい	嬉しい	6.8
喜ばしく	めでたく	7.4
嬉しい	望ましい	5.6
嬉しい	いい	4.4
嬉しい	良い	6
嬉しく	快く	4.4
嬉しく	良く	4
気まずい	苦しい	4.4
気まずい	居づらい	6.6
気まずい	気不味い	10
気まずく	気分悪く	4.8
気まずく	居づらく	7.2
気まずく	煙たく	3.8
気まずく	居心地悪く	7.6
気まずくない	不快ではない	4.8
気まずそう	居づらそう	7.2
気まずそう	ばつの悪そう	7.2
気まずそう	居心地の悪そう	6.6
気まずそう	居辛そう	6.8
気まずそう	バツの悪そう	7.8
気持ちいい	たまらない	5.6
気持ちいい	心地良い	7.4
気持ちいい	心地いい	7.4
気持ちいい	ちょうど良い	4.8
気持ちがいい	気持ち良い	9.2
気持ちがいい	快い	7.8
気持ちが良い	心地よい	8
気持ちが良い	気持ちいい	9.4
