word1	word2	mean(remove_extreme_annotator)
もちろん	勿論	10
とにかく	いかんせん	4.4
次々	順次	7.8
ほとんど	全体的に	6.6
全て	丸々	8
明らかに	さも	3
ありのまま	全て	4.4
確かに	当然	3.2
まったく	さも	3.2
わずかに	多少	5.6
かすかに	少々	6.4
ぐっと	一気に	5.6
そのまま	全て	4.6
どうにか	辛くも	6
現在は	現在	9.2
実に	まことに	7.4
とても	一段と	5.8
結構	なかなか	6.4
本当に	現に	6.2
絶対に	完全に	5.6
ちょっと	少し	7.8
きっぱり	断固	6
主に	専ら	4.6
かなり	まあまあ	2.2
実際に	事実	5.8
思い通り	いかんなく	4
すべて	丸々	7.6
そのままを	何もかも	5.4
概して	おしなべて	8.2
とうとう	もはや	3.6
全体的に	一般に	4.6
全て	丸ごと	8
主として	常に	3.4
たくさん	いっぱい	8.6
だいたい	多くが	6.2
ちょっと	結構	1.2
しょせん	結局	7.2
だいぶ	しっかりと	4
きっぱりと	断然として	7.4
ずらりと	多数	5.8
やや	わずかに	7
度々	結構	6.4
すべて	完全に	7.4
主に	ほとんどが	7.4
正に	正しく	6.8
ずっと	大幅に	4
少し	いくばくか	6.2
いかにも	やはり	4
丸ごと	ぜんぶ	8.2
いかにも	明らかに	7
やはり	あたかも	3.4
たまに	度々	3.4
いささか	結構	4
今現在	今では	8.4
全体的に	おおむね	7.8
ひたすら	偏に	7
もう	もはや	7.2
あまり	さほど	7
度々も	しばしばも	7.8
少々	結構	1.8
すでに	今や	6.6
専ら	ほとんど	3.4
やや	かすかに	6
もう	すでに	7.8
完全に	断固	2.2
今	本当に	0.2
いかにも	正しく	3
総じて	おおむね	7.2
本当に	現在	0.4
ぜんぶ	全部	10
絶対	頑として	5.2
びっしり	ぎっしりと	8.2
充分に	思う存分に	7.4
ほとんど	主に	6.4
びっしり	いっぱい	8.2
全て	総じて	7
色々と	度々	3.4
よく	常に	5.2
今では	今や	8.2
絶対	きっぱりと	3.8
少しばかり	なかなか	2
既に	よもや	2.4
全て	おしなべて	4
当然	確実に	4.2
ずっと	一段と	4.2
現在も	現に	7.4
一段と	一気に	6
専ら	ほとんどが	4
全部	そのままを	4.6
今	すでに	4
ほとんど	総じて	7.2
とても	ぐんと	4.2
ずらりと	盛大に	4
にっこり	ニンマリ	5.4
とっくに	もはや	5.6
何しろ	なんせ	8.4
今日では	今や	7.8
今	今も	7
どうにも	なんにも	4.6
専ら	ただただ	6
色々と	色々	8.8
全体的に	おしなべて	6
現在や	今や	8.6
いかにも	すっかり	3.8
すでに	今日では	2.4
少し	いささか	7
十分に	思いっきり	6.6
総合的に	基本的に	4.6
だいたい	全般的に	6
どうせ	しょせんは	7.4
今や	現在では	7.6
しっかり	完全に	7
絶対	きっぱり	5
今や	今は	7.2
そんなに	さほど	7.4
だいぶ	とても	7.2
こんがり	しっかり	3.4
たくさん	いっせいに	3.2
現在も	実際に	2.6
びっしり	窮屈そうに	5.6
ぜひとも	なんとか	6.4
しばしば	しょっちゅう	6.8
確かに	もちろん	5.8
基本的に	概して	5.6
現在では	昨今は	4.2
どうしても	何故だか	4.2
度々	頻繁に	8.4
たまに	まあまあ	5.8
ずらり	ぎゅうぎゅうと	3.4
にこやかに	にっこり	7.8
かなり	一段と	6.8
ぐんと	ずっと	5.2
ぜんぜん	そんなに	4.2
何もかも	丸ごと	7.4
実際に	実際	8.8
一段と	大幅に	7
頻繁に	しばしばも	7.2
もう	よもや	2.6
だいたい	全部	4.8
しょせん	どだい	7.4
とても	かなり	7.8
トータル的に	概ね	7.6
どだい	所詮	7.6
しっかりと	こんがりと	4.2
ほぼ	主として	6.6
今や	現在	7.4
そんなに	たいして	6.4
よろしく	ぜひとも	5
たくさん	十分に	7.4
総合的に	おしなべて	7.6
ちょっと	少々	7.8
何とも	どうしても	4.8
少し	わずかに	7.4
だいたい	全て	5.8
総合的に	概して	7.2
もう	とうとう	6.4
だいたい	概ね	7.8
ずらり	びっしり	5.6
今では	現在	7.6
どうにか	ようやく	6
何しろ	ともかく	5.6
結局	どだい	6.2
やっとこさ	ようやく	7.8
総じて	あらかた	5.8
頻繁に	時として	1.2
絶対に	当然	5.2
ぎっしり	ぎゅうぎゅうと	7.8
ぎっしり	ぎゅうぎゅうに	7.8
そんなに	さほどは	6
充分に	大胆に	3.6
今日では	もはや	4
ありのまま	丸々	5.4
ずらりと	荘厳に	3
しばしば	時折	5.4
きっぱりと	頑として	6.8
これぞ	正に	6.8
絶対	絶対に	8.8
本当に	完全に	5.2
これぞ	まさに	7
今現在	現在では	8.6
