word1	word2	mean(remove_extreme_annotator)
文献	書籍ソース	6
要旨	大要	7.6
要因	トリガー	6.6
スローガン	うたい文句	5.8
すべて	一連	8.4
救い	心やり	6
自分自身	自己	9
ひとつながり	一連	8.6
炎天下	酷暑	8.2
基準	傾向	5
群衆	一般市民	7.4
カネ	お金	9.6
道	手段	6
生い立ち	身元	6.2
己	自分自身	8.8
筆頭	ホープ	5.4
資料	専門書	5.8
短所	問題点	7
メインカラー	基調	7.4
僕	私	9.4
経歴	出どころ	5.2
職業	勤め	7.4
トップ	総統	7.8
原因	動因	7.6
宿命	天命	8.6
基礎	骨格	3.2
一般市民	国民	7.6
きっかけ	引き金	9
筆頭	皮きり	5
きっかけ	要因	8.6
構え	体勢	6
資料	典拠	6.2
ト―ン	カラーリング	4.6
正体	実態	6
トップ	頭	7.8
第一番	先頭	8
制服	コスチューム	7.4
道	すべ	8.2
知識	頭脳	6.8
大筋	全容	7.8
トリガー	動因	7.8
幹部	重役	8
資料	書籍	6.6
皆	聴衆	6.8
業種	役回り	7.2
引き金	要因	8.2
川べり	河川敷	7.2
頭	ホープ	5.2
支え	拠り所	7.2
知性	能力	6.2
服	衣	8.4
スタイル	格好	7.4
もの	物	9.8
知恵	頭脳	8
書物	書籍ソース	6.6
手始め	端緒	7.2
始まり	手始め	7.2
寺内	寺社内	6.6
全部	ひとまとまり	8.8
残念	問題	4.8
慰め	心やり	6
はじめ	皮切り	8.4
頭	知的能力	5.8
出身	素性	5.8
内容	議事	5.6
衆人	世間	6.6
筆頭	頭	7
概要	概略	7.2
文献	文物	7.6
方法	術	7.8
モノ	物体	8.6
欠点	ウィークポイント	9.2
基礎	背骨	3.4
術	手口	6.2
元気	気休め	2.4
庶民	聴衆	6.8
身元	身分	7.6
最初	第一番	8
トップ	リーダー	8
頭	賢さ	6.2
やり方	道筋	7
きっかけ	動因	8.6
書籍	文物	7.4
カラー	色合い	7.8
人民	庶民	8
体勢	体位	8
一般人	一般市民	8.8
慰め	慈悲	6.6
能力	知能	6.8
みんな	人民	6.4
ト―ン	色調	7.2
能力	知的能力	6
格好	ユニフォーム	6
始まり	はじめ	8.6
自分	我	8
猛暑	酷暑	8.4
世間	市井	6.6
高級車	大型高級乗用車	6.8
基本	テーマ	5.6
寺社内	構内	5.8
頭	頭脳	7
幹部	基幹人員	8
要因	動因	7.6
自身	自ら	8.2
俺	己	8.4
情報	経歴	3.2
皆	民	5.8
やり方	術	7.6
手段	術	7.4
内容	全容	6.6
はじめ	筆頭	7.4
任務	職分	6.4
皮切り	端緒	7
弱み	欠点	7.4
合言葉	スローガン	7
自分自身	己れ	8.2
骨格	背骨	7.2
最初	一番手	7.4
務め	職務	7.8
手始め	先頭	7
自動車	高級車	5.8
一通り	全行程	7
色合い	カラーリング	8
ひとつながり	一通り	8.2
記事	文献	5.8
上層部	重役	8.2
自分自身	我	8
