word1	word2	mean(remove_extreme_annotator)
あげる	表す	1.6
あしらった	配置された	5.4
あしらった	使用した	5.8
あしらってある	飾ってある	7.2
あふれた	満ち溢れた	7.4
あふれる	富んだ	8.4
あふれる	する	0
あらわになった	出現した	6.4
あらわになった	さらされた	7.8
あらわになった	露出した	8.2
あらわになった	発覚した	8.6
あらわになった	表面化した	8.8
あらわになった	露呈した	9.4
いためた	病んだ	5
いっしょにした	添えた	7.4
いつもいる	駐留する	7
いつもそこに居る	常駐する	8.6
いなくした	出した	0.6
いなくなる	無くなる	6.6
イライラした	うざったい	5.8
うかがう	お聞きした	7.6
うかがう	様子見した	6
うかがった	のぞいた	5.2
うつされた	貰った	4.6
うつった	罹った	4.8
うもれた	溺れた	3.8
お願いした	懇願した	8.6
お願いする	懇望する	7.8
お願いする	頼み込む	7.8
かかった	罹患した	8
かき乱された	揺らした	3.8
かき乱された	揺れ動いた	5.8
かたる	名乗る	7
ぐしゃぐしゃになった	乱れた	7.4
くばられた	分けられた	6.6
けんかをする	ごたごたする	6.4
けんかをする	言い争う	7.4
けんかをする	もめる	8.2
コーディネートした	合わせた	7
こじらせた	患った	5.4
こじらせた	うつされた	3
こじらせる	罹る	3.2
ごたついた	言い合った	5.2
ごたついた	ごたごたした	8.2
コントロールした	操縦した	7.2
コントロールする	操縦する	8
コントロールできる	制御できる	9.2
ささくれる	荒れる	5.2
しけている	乱れている	4.8
しばった	着けた	2
しめた	閉じた	8.4
しめっていた	濡れていた	7.4
しめる	冷やす	2.6
すたれた	荒廃した	8
すたれた	廃れた	10
ズレていく	変わっていく	5.4
せずにいる	欠かす	4
ダッシュする	爆走する	6.8
ダッシュする	疾走する	7.6
ダッシュする	走行する	6.2
ダッシュする	駆け抜ける	7
ためらう	気後れする	7.4
ためらう	躊躇する	8.4
ためらった	躊躇した	8.6
たらした	広げた	2
たらした	入れた	2.6
チャレンジする	望む	5.2
チャレンジする	のぞむ	6.2
チャレンジする	立ち向かう	6.4
